ENG_CLASS,RECONSTRUCTION_ERROR,TYPE_DATASET
screw_1342,13.856824,ANOMALY
screw_2413,5.944719,ANOMALY
screw_1234,10.289495,ANOMALY
screw_2413,6.854258,ANOMALY
screw,0.64276737,ANOMALY
screw_2413,6.3765054,ANOMALY
screw_2413,6.73777,ANOMALY
unscrew_allenkey_1,221.44379,ANOMALY
screw_1432,10.647045,ANOMALY
screw_1432,8.722527,ANOMALY
screw_1432,8.560925,ANOMALY
screw_2413,6.3773103,ANOMALY
screw_1432,6.905479,ANOMALY
screw_1342,13.183618,ANOMALY
screw_allenkey_2,228.83624,ANOMALY
unscrew,2.7072093,ANOMALY
screw,0.83412224,ANOMALY
screw_allenkey_2,237.54541,ANOMALY
screw_allenkey_2,216.70767,ANOMALY
screw_2413,5.7974043,ANOMALY
screw,0.67411494,ANOMALY
screw_1234,9.016389,ANOMALY
screw_allenkey_2,194.13416,ANOMALY
screw_2413,5.984292,ANOMALY
screw_2413,6.0048265,ANOMALY
screw_allenkey_2,230.27072,ANOMALY
screw_allenkey_1,209.7194,ANOMALY
unscrew_allenkey_2,222.12067,ANOMALY
screw,0.7414505,ANOMALY
unscrew_allenkey_1,220.85583,ANOMALY
unscrew,1.0060475,ANOMALY
screw_allenkey_1,213.52695,ANOMALY
unscrew_allenkey_2,220.66754,ANOMALY
unscrew_allenkey_2,235.64816,ANOMALY
screw,0.61569583,ANOMALY
screw_allenkey_2,231.0914,ANOMALY
unscrew_allenkey_2,232.54181,ANOMALY
screw_allenkey_2,206.34773,ANOMALY
screw_allenkey_1,223.21968,ANOMALY
screw_allenkey_2,232.02963,ANOMALY
screw_1342,6.7805643,ANOMALY
