ENG_CLASS,RECONSTRUCTION_ERROR,TYPE_DATASET,LOG_RECONSTRUCTION_ERROR
screw_2413,8.328241,ANOMALY,2.11965226941461
unscrew,1.9246233,ANOMALY,0.6547302602786033
screw_1432,11.478527,ANOMALY,2.440478072554445
screw_allenkey_2,230.5335,ANOMALY,5.440396188102014
screw_allenkey_2,219.97638,ANOMALY,5.39352017695211
unscrew_allenkey_2,218.25098,ANOMALY,5.38564568497309
screw_1234,8.166538,ANOMALY,2.1000450736564176
unscrew_allenkey_2,224.41656,ANOMALY,5.413503967717136
screw_allenkey_1,235.44476,ANOMALY,5.4614763211860184
screw_allenkey_1,198.43713,ANOMALY,5.290472324518343
screw_2413,6.554838,ANOMALY,1.8802034029514583
screw,0.8016393,ANOMALY,-0.2210965229072103
screw_1234,13.249317,ANOMALY,2.5839460039338187
screw,0.95131695,ANOMALY,-0.04990799120534367
unscrew_allenkey_1,202.13913,ANOMALY,5.3089562226894955
unscrew,1.3368719,ANOMALY,0.2903324820112648
screw_1234,11.231753,ANOMALY,2.418744856300915
screw_1342,10.5353775,ANOMALY,2.354738879551994
unscrew_allenkey_2,207.22707,ANOMALY,5.333815148569935
unscrew_allenkey_1,197.95436,ANOMALY,5.288036499073658
screw_1234,8.856462,ANOMALY,2.1811473620673123
unscrew_allenkey_2,246.27394,ANOMALY,5.50644449360092
screw_allenkey_1,218.63062,ANOMALY,5.387383639126151
unscrew,1.0901989,ANOMALY,0.0863601566583582
screw_1234,10.933314,ANOMALY,2.391814458427742
screw_1234,12.058564,ANOMALY,2.489775112899372
unscrew_allenkey_1,229.18625,ANOMALY,5.434534991767039
screw_1432,10.90474,ANOMALY,2.3891975570951747
screw,0.4984116,ANOMALY,-0.6963290373014095
screw_1432,8.79528,ANOMALY,2.1742152139533664
unscrew,1.0175004,ANOMALY,0.017349031454928932
screw_1342,15.690807,ANOMALY,2.753074999456673
screw_1234,8.931782,ANOMALY,2.18961592705221
screw_allenkey_1,219.57962,ANOMALY,5.391714900228534
screw_2413,7.153632,ANOMALY,1.9676201997597726
screw_1342,6.191249,ANOMALY,1.8231368434020256
unscrew,0.72288984,ANOMALY,-0.32449843357734853
unscrew,1.1900859,ANOMALY,0.17402548939218487
unscrew_allenkey_1,212.54378,ANOMALY,5.35914799067395
unscrew_allenkey_1,204.21724,ANOMALY,5.319184329199125
screw_allenkey_2,226.08969,ANOMALY,5.420931778951896
screw_1342,14.109328,ANOMALY,2.6468361389332715
screw_1432,9.733616,ANOMALY,2.275585461280332
screw_allenkey_1,217.13991,ANOMALY,5.380541892324482
screw_1342,12.121134,ANOMALY,2.4949505406207324
unscrew_allenkey_1,242.69612,ANOMALY,5.491810125789767
screw_1342,11.293886,ANOMALY,2.4242615173445574
screw_allenkey_1,221.69824,ANOMALY,5.401317177934914
screw_1342,7.5911427,ANOMALY,2.0269821334352027
screw_1342,13.856824,ANOMALY,2.62877781887405
screw_2413,5.944719,ANOMALY,1.7825032624150465
screw_1234,10.289495,ANOMALY,2.3311234718680875
screw_2413,6.854258,ANOMALY,1.9248700649966644
screw,0.64276737,ANOMALY,-0.4419724086972096
screw_2413,6.3765054,ANOMALY,1.8526202043440214
screw_2413,6.73777,ANOMALY,1.9077290096436685
unscrew_allenkey_1,221.44379,ANOMALY,5.400168787528505
screw_1432,10.647045,ANOMALY,2.3652823888662255
screw_1432,8.722527,ANOMALY,2.1659089895168213
screw_1432,8.560925,ANOMALY,2.147208245063172
screw_2413,6.3773103,ANOMALY,1.8527464253934707
screw_1432,6.905479,ANOMALY,1.93231515447699
screw_1342,13.183618,ANOMALY,2.578974998232783
screw_allenkey_2,228.83624,ANOMALY,5.433006638571408
unscrew,2.7072093,ANOMALY,0.9959183257075546
screw,0.83412224,ANOMALY,-0.18137531662042694
screw_allenkey_2,237.54541,ANOMALY,5.470358805198305
screw_allenkey_2,216.70767,ANOMALY,5.378549302470625
screw_2413,5.7974043,ANOMALY,1.75741028289617
screw,0.67411494,ANOMALY,-0.39435464848449175
screw_1234,9.016389,ANOMALY,2.1990439213258113
screw_allenkey_2,194.13416,ANOMALY,5.268549466447059
screw_2413,5.984292,ANOMALY,1.7891380362730953
screw_2413,6.0048265,ANOMALY,1.7925635625250391
screw_allenkey_2,230.27072,ANOMALY,5.439255660228873
screw_allenkey_1,209.7194,ANOMALY,5.3457704467427725
unscrew_allenkey_2,222.12067,ANOMALY,5.403220792756396
screw,0.7414505,ANOMALY,-0.29914687620698066
unscrew_allenkey_1,220.85583,ANOMALY,5.397510135701812
unscrew,1.0060475,ANOMALY,0.0060292872626753575
screw_allenkey_1,213.52695,ANOMALY,5.363763054210602
unscrew_allenkey_2,220.66754,ANOMALY,5.3966572249649944
unscrew_allenkey_2,235.64816,ANOMALY,5.462339845149144
screw,0.61569583,ANOMALY,-0.48500221986685865
screw_allenkey_2,231.0914,ANOMALY,5.442813303260338
unscrew_allenkey_2,232.54181,ANOMALY,5.449070036817291
screw_allenkey_2,206.34773,ANOMALY,5.329562755411162
screw_allenkey_1,223.21968,ANOMALY,5.40815639866324
screw_allenkey_2,232.02963,ANOMALY,5.446865079028619
screw_1342,6.7805643,ANOMALY,1.914060328577368
